Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,14,10,11,8,1,7,9,13
La Montagne,8,1,11,7,14,10,9,6
La Provence,11,13,14,10,9,7,8,1
Aisne Nouvelle,13,14,10,7,9,8,6,11
La République du Centre,14,13,9,1,10,8,11,7
La Voix du Nord,14,10,13,11,7,8,9,1
Le Courrier Picard,10,8,1,11,14,13,9,7
Le Dauphiné Libéré,14,8,10,11,1,7,13,9
Le Matin de Lausanne,14,8,1,10,9,7,13,11
Le Parisien,14,10,13,8,7,1,11,9
Le Progrès de Lyon,14,10,13,11,7,8,9,1
Bilto,14,13,9,11,10,1,8,7
Le Quotidien de la Réunion,14,10,8,7,1,11,9,13
Le Télégramme de Brest,14,10,9,13,1,7,11,8
Les 7 de week-end,8,11,14,10,7,9,13,1
Midi-Libre,8,14,13,11,10,9,1,7
Nice Matin,8,14,10,13,11,1,9,7
Nve. Rep. Centre-Ouest,14,10,13,8,7,11,9,1
Ouest-France,14,9,13,7,11,1,8,6
Paris Normandie,7,1,14,13,8,10,11,9
Paris Turf,14,11,6,7,8,9,10,1
Centre Presse Poitiers,10,14,13,8,11,1,6,12
République des Pyrénées,14,9,10,11,8,13,6,7
Week-End,14,11,13,8,7,1,10,9
Charente Libre,14,10,13,11,7,8,9,1
Europe 1,11,7,10,14,8,1,9,6
L'Echo du Centre,14,11,10,8,13,9,7,1
L'Eveil,10,1,14,8,7,11,9,13
L'Yonne Républicaine,14,1,8,13,10,11,7,9
L'indépendant,14,10,11,8,9,13,1,6
