date,heure_capture,course,depart,numero,cheval,jockey,entraineur,musique,valeur,cote_pmu,cote_geny
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,1,Ti Amo Bello,C. Demuro,M. Pitart,1p9p5p5p1p,40,"15,9","16,9"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,2,Modèle Absolu,A. Lemaitre,A. Carrasco Sanchez,4p1p1p1p1p,38,"14,9","30,6"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,3,Andeol,M. Guyon,C. Ferland,0p7p1p(25),38,"13,4","16,5"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,4,Ingeborg,M. Barzalona,J. Boisnard,4p1p6p2p6p,37,"9,8","8,5"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,5,Zelzara,H. Journiac,Y. Barberot,4p0p8p2p7p,"36,5","15,5","28,7"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,6,Waramini,Non-partante,C. & Y. Lerner,5p0p2p0p,"36,5",,
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,7,Egyptian Glory,T. Bachelot,S. Wattel,2p5p1p6p,"36,5","6,7","6,8"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,8,Incentive Victory,C. Soumillon,S. Kobayashi,7p7p6p(25),"36,5","13,4","39,1"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,9,Vasumati,S. Pasquier,H.-A. Pantall,6p4p1p7p,"36,5","24,3","52,6"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,10,Flash Girl,T. Piccone,H.-A. Pantall,1p4p9p7p,36,"19,8","7,9"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,11,Rue Recamier,M. Grandin,L. Gadbin,2p4p(25)1p,36,"12,7","17,8"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,12,Extravagante,C. Lecoeuvre,M. Delcher-Sanchez,3p0p6p(25),"35,5","22,6","43,9"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,13,The Little Swan,T. Trullier,S. Wattel,9p4p2p6p,"35,5","20,3","23,7"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,14,Au Delà des Mers,F. Veron,D. de Watrigant,3p1p3p4p5p,35,"16,9","18,2"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,15,Mister Black,A. Pouchin,C. & Y. Lerner,2p4p2p2p0p,34,"4,5","3,8"
2026-07-07,15:56,8 - Prix Le Roi Soleil,18h30,16,Warholm,J. Moisan,P. & J. Brandt,6p7p(25)1p,34,"32,2","48,9"
